assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
33,6,19,,1,48,7,Weight,0,69,8458361,-17,40,0.83333,C,1,21,19941995,0,0,0.0673,L,104,Doug Weight,EDM,
33,5,24,,0,82,7,Kaberle,0,24,8465200,3,40,0.4878,D,2,15,19992000,0,1,0.08536,L,82,Tomas Kaberle,TOR,1374.8658
34,2,11,,1,70,6,Ellett,0,46,8446626,19,40,0.57142,D,4,29,19921993,0,0,0.03225,L,186,Dave Ellett,TOR,
34,4,26,,3,57,6,MacIver,0,38,8448961,20,40,0.70175,D,2,13,19911992,0,1,0.08695,L,69,Norm MacIver,EDM,
13,21,31,0.45454,4,61,26,Berezin,0,2,8460742,8,39,0.63934,L,5,8,19992000,0,0,0.10788,R,241,Sergei Berezin,TOR,1011.8196
15,17,24,0.5,7,75,24,Young,0,18,8452569,12,39,0.52,R,6,14,19992000,1,1,0.09836,R,244,Scott Young,STL,966.2533
16,12,22,,1,42,23,Millen,0,42,8449606,16,39,0.92857,C,9,14,19921993,2,3,0.23,R,100,Corey Millen,LAK,
16,20,34,,5,45,23,Richer,1,10,8450825,8,39,0.86666,R,1,3,19941995,2,2,0.17293,R,133,Stephane Richer,NJD,
18,16,28,0.48075,4,78,21,Murray,0,20,8459071,4,39,0.5,L,4,9,19981999,1,2,0.18103,L,116,Rem Murray,EDM,949.9871
19,13,25,,4,61,20,Holik,1,76,8447958,-6,39,0.63934,C,7,14,19921993,0,0,0.11111,R,180,Bobby Holik,NJD,
19,15,28,0.5,3,81,20,Dawe,1,42,8458549,8,39,0.48148,R,4,10,19971998,1,1,0.14925,L,134,Jason Dawe,"BUF,NYI",985.5308
19,6,18,,0,80,20,Oliver,0,34,8458658,-22,39,0.4875,R,14,21,19951996,0,0,0.15267,R,131,David Oliver,EDM,
